,Job_Title,Job_Type,Company,Location,Remote,Salary,Summary
21,Sr Business Intelligence Analyst,Full-time,Government of Alberta,"Edmonton, AB",True,7026.0,"Job Information Job Requisition ID: 14633 Ministry: Education Location: Edmonton Full or Part-Time: Full Time Hours of Work: 36.25 hours per week Regular/Temporary: Temporary Scope: Open Competition Closing Date: June 20, 2022 Classification: Opted Out & Excluded Systems Analyst Level 3 About Us Through safe and caring schools for all students, Alberta’s government is making life better by investing in education – one of the most important investments we can make in our future. The Ministry has the following responsibilities: develop curriculum and set standards; evaluate curriculum and assess outcomes; teacher development and certification; support students with diverse learning needs; fund and support school boards; First Nations, Métis and Inuit and Francophone education; and oversees basic education policy and regulations Role The Funding Analysis and Analytics Branch is responsible for Alberta Education’s K-12 Funding Model. The branch manages the K-12 funding framework, oversees the grant allocations of more than $7 billion in operational funding to all school jurisdictions, private schools, charter schools and Early Childhood Service providers. The branch develops funding profiles, funding policies and procedures and governs school authority funding. The branch helps K-12 Fiscal Oversight Sector in the preparation and submission of the three-year fiscal plan to Executive Committee, Minister, Cabinet Policy Committee and Treasury Board and with the Deputy Minister and Minister for Committee of Supply. The branch provides support updating the Funding Manual for School Authorities that governs funding policy for the provincial education system. In addition, the branch ensures that appropriate controls are in place to mitigate risk to the Ministry in relation to the over $7.0 billion in operational grants in the Funding Framework annually. The Branch provides flexible and responsive analytical capacity for the department, in collaboration with business and program areas across the division and Ministry. The branch works to provide quality data and reporting to serve the Ministry in efforts to use evidence to inform decision-making. Data analytics and business intelligence functions are key in meeting these responsibilities. These functions include several activities related to data analysis and modeling of data from the Ministry’s information collection applications, analysis and management of information requirements, business intelligence exploration, applied research and program evaluation. Responsibilities include: Plans and forecasts a funding model to help identify funding framework implications, and grant rates. Analyses demographic and financial data to determine trends, risks, and opportunities. Performs ad-hoc and time sensitive analyses requiring knowledge of the education system and creative and complex analytical skills Provides guidance, expertise, and recommendations to assist and influence Ministry representatives and stakeholders to make financial decisions. Ensures the data produced is responsive to the varied and changing information needs of stakeholders in the education community. Conducts regular reviews of technologies used for information dissemination to ensure business needs are met. Analyzes, designs, constructs, and documents business intelligence solutions using appropriate tools. Designs and conducts appropriate statistical data analysis to support departmental initiatives and projects. Provides consultative advice to department staff to develop appropriate indicators and measures for department and government plans and program initiatives and test the relevancy, reliability and validity. Represents Analytics Branch on Ministry and cross-government working groups, committees, and initiatives as required. Provides support and input to development of policies and standards relating to data integrity, privacy, security, standards, sharing, repository, and retention. Qualifications Degree related to Business/Economics/Computer Science and at least four years of directly related experience in a Business Intelligence environment. Equivalency: Two-year diploma related to computer technology and six years directly related experience or other equivalent combinations of relevant coursework and experience (i.e. one-year certificate from recognized post-secondary institution and seven years related experience). Assets: Knowledge of business intelligence and reporting technologies and software, relational databases, and front-end query tools used in the Ministry Knowledge of statistics and measurement concepts Knowledge of data analysis and data modeling Proficiencies in business intelligence tools and SQL for data analysis Excellent project management skills, including the ability to direct multiple projects and priorities in an increasingly complex environment Experience designing and developing business intelligence and reporting products to meet the information requirements of clients APS Competencies Competencies are behaviors that are essential to reach our goals in serving Albertans. We encourage you to have an in depth understanding of the competencies that are required for this opportunity and to be prepared to demonstrate them during the recruitment process. The link below will assist you with understanding competencies: Critical Competencies: Agility – Demonstrated ability to manage and adapt to change. Ability to manage human, financial and physical resources within an operating environment. Drive for Results – Leadership skills, including demonstrated ability and comfort with decision making responsibilities, coaching and teaching, and the ability to inspire and build confidence in others. Develop Self and Others – Proven ability to foster partnerships and to achieve organizational goals within an organization. Build Collaborative Environments – Strong track record in establishing and maintaining effective working relationships with internal and external stakeholders. Develop Networks – Ability to foster a climate of cooperation amongst, and build solid relationships with public agencies, government, committees and other partners. Systems Thinking – Effective leadership abilities combined with a strong commitment to operating within a team environment and the ability to motivate and inspire other to achieve common goals. Creative Problem Solving – Excellent analytical and decision-making skills. Salary $ 3,022.61 – $ 4,003.55 bi-weekly ($78,890 - $ 104,492 per year) Notes There is one temporary position available located in Edmonton. This position is 36.25 hours per week, 8:15 am – 4:30 pm Monday- Friday. Applicants are advised to provide a cover letter summarizing information that clearly and concisely demonstrates how their qualifications meet the advertised requirements, including education, experience and relevant examples of required competencies. This competition may be used to fill future vacancies across the Government of Alberta, at equal or lower classification and salary. What we offer: Working for the Alberta Public Service – Comprehensive benefits plan: Pension plan: Health Spending Account: Leadership and mentorship programs Professional learning and development Positive workplace culture and work-life balance Opportunity to participate in flexible work arrangements such as working from home up to two days per week and modified work schedule agreements Research Alberta Public Service Careers tool – How To Apply If you are not currently an employee with the Government of Alberta, the first step in applying for a job is creating your candidate profile within our online application system, Existing employees should access the Career tile in 1GX to submit their application in order to be recognized as an internal applicant. Once you have created your candidate profile, visit the Alberta Public Service job site to apply for jobs at Tips for applicants: It is recommended that applicants who have obtained educational credentials from outside of Canada and have not had them previously assessed, obtain an evaluation of their credentials from the International Qualifications Assessment Service (IQAS) Closing Statement This competition may be used to fill future vacancies, across the Government of Alberta, at the same or lower classification level. We thank all applicants for their interest. All applications will be reviewed to determine which candidates' qualifications most closely match the advertised requirements. Only individuals selected for interviews will be contacted. If you require any further information on this job posting or a copy of the role profile, please contact Katelynn Kelly at Katelyn.Kelly@gov.ab.ca If this competition is closed as per the closing date noted above, please continue to check"
22,Control Room Data Analyst,Full-time,Hifi Engineering,"Calgary, AB",True,4583.33,"Hifi Engineering is a small and dynamic company which specializes in creating fiber optic leak detection technologies for the pipeline industry. This control room Data Analyst position is for motivated and hardworking candidates who would like to put their data analysis and signal processing skills to use in a fast paced environment. The successful applicant will be working shifts at Hifi's 24-hour data center in Calgary to analyze system generated data from various field deployments. The operator will need to support customer protocols and inquiries by analyzing energy signatures embedded in the data to decide how to act on inbound events. Client communications must be conducted professionally and immediately documented. The operator will be responsible for remotely resolving system issues such as hardware or software malfunction. Required skills Preferred discipline of study: Electrical/Computer/Software Engineering Familiarity with signal processing principles is a must Software coding skills in MATLAB/Python will be very beneficial Familiarity with computer systems and ability to troubleshoot hardware and software issues Job requirements: Willing to work 7 x 12-hour shifts, followed by 7 off days Willing to work 7 night shifts per month Ability to communicate clearly with clients and the engineering team Adaptable to the changing and dynamic nature of tasks Job Type: Full-time Salary: $50,000.00-$60,000.00 per year Additional pay: Bonus pay Benefits: Dental care Disability insurance Extended health care Life insurance On-site parking Paid time off Vision care Wellness program Schedule: 12 hour shift Day shift Night shift Weekend availability"
23,Senior Data Analyst,Full-time,AstraNorth,"Calgary, AB",False,8333.33,"Key Skills/Requirements: 5+ years’ experience as a Senior Product Analyst/ Quality Analyst Experience with variety of software solutions and technical applications Demonstrates ability and willingness to learn new tools Strong knowledge of systems analysis and design concepts Strong technical quality assurance skills and experience Experience working with data and data models Writing complex SQL Great facilitation and leadership skills Business Knowledge: Lending and Finance business knowledge is beneficial Key Accountabilities: Analyze business and data requirements, analyze and test large volumes of data, help build data models and data mapping, write complex SQL queries, and collaborate with development teams to facilitate application development and design Accountable for delivering solutions that enable organizational changes necessary to deliver value to employees and customers. Collaborates with the development team, product stakeholders, and end-users to understand, manage and document business requirements Facilitates teamwork and seeks feedback from end-users and stakeholders The role is involved in complex business and technical domains. Understands business needs, constraints, and problems to identify solution options Documents and executes user story acceptance tests Provides user story and solution working closely with Agile team members Participates in backlog refinement Supports investigation, analysis, and response to incidents Provides quality assurance for solutions developed by the scrum team Job Type: Full-time Pay: From $100,000.00 per year Schedule: 8 hour shift Monday to Friday"
24,"analyst, database",Full-time,CHOHAN GROUP LTD,"Edmonton, AB",False,6728.0,"Specific Skills Collect and document user's requirements Design and develop database Design, construct, modify, implement and test data models and database management systems Operate database management systems to analyze data Research and document data requirements, data collection and administration policy, and data access rules Develop and implement data administration policy, standards and models"
25,Business Analyst,Full-time,Ledcor,"Edmonton, AB",True,,"Ledcor Employee? Apply internally in Workday. Description Job Summary: You are an experienced Business Analyst with a strong data background. Under the direction and guidance of the team you will develop, maintain, and manage the data system, data, and dashboards that are needed for new contracts. Supporting operations, you will assist with a variety of duties including technology initiatives and digital transformations. Come join the Ledcor team in Edmonton, AB or Vancouver, BC! Essential Responsibilities: Assist the Pipeline group with digital transformation Manage a SQL database containing Pipeline operational data Convert and automate excel reports and dashboards to Power BI Assist with optimizing and digitizing existing operational processes Ongoing development of form applications Improving integration of data systems into quality, finance, HSE, and project controls Development of PowerBI dashboards and combining data from multiple sources into meaningful outputs Combining data from other sources such telematics data and JDE and creating useful connections between them Assisting with technological initiatives and projects Analysis of field activities and determining insights across data sources Qualifications: Minimum of 1 year experience in a business analyst role or in a similar Tech related position Completion of a degree in business, information systems, technology or related discipline Ability to lead projects and take business requirements and convert them into a final product Ability to simplify complex ideas and train users who are not comfortable with technology Basic coding experience or experience with Powerapps/other low-code app development solutions an asset Data visualization experience (Power BI, Tableau, Qlikview, etc). Experience with SQL SharePoint experience an asset Excellent communication skills and interpersonal skills which are essential for interacting with all levels of the organization Must possess the ability to perform detail-oriented work, manage multiple competing priorities and work independently Work Conditions: This position offers work from home options with the understanding that from time to time you may be required to attend the office or site as business needs require Additional Information: Company Description The Ledcor Group of Companies is one of North America’s most diversified construction companies. Ledcor is a company built on a rich history of long-standing project successes. But when you work for Ledcor, your experience will go far beyond the project. Do you want a career that means more? Join our True Blue team now! Employment Equity At Ledcor we believe diversity, equity, and inclusion should be part of everything we do. We are proud to be an equal-opportunity employer. All qualified individuals, regardless of race, color, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or any other identifying characteristic are encouraged to apply. Our True Blue team consists of individuals from all backgrounds who contribute diverse perspectives and experiences to Ledcor. We are committed to continuing to build on our culture of empowerment, inclusion and belonging. View our full Inclusion & Diversity statement here . Date Posted May 17, 2022 7008 Roper Road NW, Edmonton, AB, Canada"
26,data warehouse analyst,Full-time,VISAY TECHNOLOGIES INC,"Edmonton, AB",False,6728.0,"Computer Science Specific Skills Operate database management systems to analyze data Develop policies and procedures for network access and usage and for the backup and recovery of data Conduct research and provide advice to other information systems professionals regarding the collection, availability and suitability of data Lead and co-ordinate teams of data administrators in the development and implementation of data policies, standards and models Write scripts related to stored procedures and triggers Work Conditions and Physical Capabilities Attention to detail Tight deadlines"
27,Data Analyst,,Mobility Quotient Solutions,"Calgary, AB",False,,"Location: Calgary, AB Job Type: Intern Education Level: Working toward a Diploma or Degree in a Computer-Science or Geomatics related discipline or an equivalent combination of education and experience. Number of Positions: 1 Job Reference: MQJOB-1110-0317-2021 Our ideal candidate for the position of Data Analyst will have database knowledge as well as previous experience with Linux and Mac. They will also have a solid understanding of SQL, preferably in PostgreSQL or MySQL. Duties will involve working solely on our newest product, SokoLocal, performing crawls on local websites, validating websites and content for eligibility, and maintaining crawl reports and results. Self QA (extensive and repetitive testing, not simply unit testing) of all development is a key ingredient of what we do at Mobility Quotient. Involvement in every aspect of the Software Development Lifecycle (SDLC) by every member of the team is expected. Our employees have passion and initiative and a desire to learn and improve at every level. Dedication and commitment are essential and rewarded. Qualifications Education & Experience Working towards a bachelor’s degree in computer science or geomatics related discipline Skills Working knowledge of databases Proficient with SQL Understanding of LINUX, HTML, AJAX, JSON Experience with content management systems (CMS) Strong problem-solving and analytical skills. Strong written and verbal communication skills. Ability to work independently. Enthusiasm to work in a fast-paced and dynamically changing environment. Nice-To-Haves Knowledge of PHP, PHP Storm, Tower and Mac Experience with JSON-LD, oEmbed, Microdata, Open Graph, Woo Commerce APIs Apply Today Applications for this position must be submitted to careers@mobilityquotient.com with the subject line 'Data Analyst' About MQ Mobility Quotient (MQ) is a full-service digital agency based in Calgary, Alberta. We provide digital strategy, software development, marketing and design services to innovate and solve the business challenges of our global client base. Operating for over 10 years, our clients come from various industries including automotive, retail, media, publishing, tech and finance. Our recipe for success is simple: we work diligently with our clients to understand their business needs, challenges and goals. Then we create a best-fit strategy that works within their designated budget and act to enhance their revenue opportunities, accelerate project implementation, curate elegant solutions to complex problems, and most importantly to achieve their goals. We offer our skills and services to businesses who desire progress, efficiency and change. We design. We code. We build and support digital brands."
28,marketing analyst,Full-time,Grewal Immigration Services Ltd.,"Edmonton, AB",False,1443.0,"Additional Skills Supervise professional and support staff and students Perform administrative tasks Specific Skills Administer programs to promote industrial and commercial business investment in rural and urban areas Respond to enquiries from members of the business community concerning development opportunities Plan development projects Develop policies Develop and implement business plans Conduct surveys and analyze data on the buying habits and preferences of wholesale and retail consumers Conduct social or economic surveys on local, regional, or international areas to assess development of potential and future trends Review and evaluate commercial or industrial development proposals Prepare reports, research papers, educational texts or articles Conduct analytical marketing studies Design market research questionnaires Evaluate customer service and store environments Develop marketing strategies Conduct online marketing, E-commerce and Website promotions Work Conditions and Physical Capabilities Fast-paced environment Attention to detail Large workload Tight deadlines Personal Suitability Initiative Effective interpersonal skills Flexibility Accurate Team player Excellent written communication Client focus Dependability Reliability"
29,"analyst, business - computer systems",Full-time,Kajata Inc.,"Calgary, AB",False,7795.2,"Specific Skills Confer with clients to identify and document requirements Conduct business and technical studies Design, develop and implement information systems business solutions Provide advice on information systems strategy, policy, management and service delivery Assess physical and technical security risks to data, software and hardware Develop and implement policies and procedures throughout the software development life cycle Develop policies, procedures and contingency plans to minimize the effects of security breaches Conduct reviews to assess quality assurance practices, software products and information systems Personal Suitability Effective interpersonal skills Organized"
30,Summer Student – Business Analyst,Seasonal,GFL Environmental,"Edmonton, AB",False,,"Duration: Immediate through to end of August Location: Edmonton, AB Summary: GFL is looking for a motivated summer student to support our professional team with ongoing performance improvement initiatives. The successful candidate will be responsible for a number of business analysis related activities. The term position will provide the candidate with valuable hands-on business experience. Job Duties · Responsible for data management, data cleaning, data reporting · Updating operational databases, developing process documentation, developing training documentation · Ability to manage multiple assignments while adapting to changing priorities · Other administrative tasks as assigned Qualifications & Requirements Enrolled in a post-secondary institution in business, finance, accounting, operations management, economics or similar program Analytical and ability to collect and analyze information and data Responsible individual with high energy and a positive attitude Detail oriented with excellent organizational, problem solving, time management, communication and interpersonal skills Team player and an enthusiastic self-starter with a strong work ethic Proficiency in Microsoft Office applications (Outlook, Excel, PowerPoint) GFL Environmental is an equal opportunity employer and encourages applications from all qualified individuals. We thank you for your interest. Only those selected for an interview will be contacted. Job Type: Seasonal"
31,Product Data Analyst,Full-time,Numerator,Canada,True,,"Numerator is a data and tech company bringing speed and scale to market research. Headquartered in Chicago, IL, Numerator has more than 2,000 employees worldwide. The company blends proprietary data with advanced technology to create unique insights for the market research industry that has been slow to change. The majority of Fortune 100 companies are Numerator clients. Here at Numerator, we've made all corporate roles have maximum flexibility between office and remote work, except for rare situations when the role requires coming into an office regularly. In those situations, the recruiter of that role will clarify at the beginning of the process if that is the case. In fully remote situations, the company will provide technical equipment necessary to be successful in the role. In addition to maximum flexibility of return-to-office, the company also provides generous PTO, Internally Quiet Focus Time, and other recharge efforts to give time back to employees. Job Description Numerator is a data and tech company bringing speed and scale to market research. Headquartered in Chicago, IL, Numerator has more than 2,000 employees worldwide. The company blends proprietary data with advanced technology to create unique insights for the market research industry that has been slow to change. The majority of Fortune 100 companies are Numerator clients. Here at Numerator, we've made all corporate roles have maximum flexibility between office and remote work, except for rare situations when the role requires coming into an office regularly. In those situations, the recruiter of that role will clarify at the beginning of the process if that is the case. In fully remote situations, the company will provide technical equipment necessary to be successful in the role. In addition to maximum flexibility of return-to-office, the company also provides generous PTO, Internally Quiet Focus Time, and other recharge efforts to give time back to employees. Job Description Numerator is looking for a Product Data Analyst to join our Data as a Service (DaaS) team. As part of our DaaS team, you will be a vital member ensuring on-going excellence in delivery of our data feed solutions. You will be responsible for the technical delivery of our data feeds product to a myriad of clients and strategic partnerships, as well as work on on-going improvements and extensions to this capability. This is an opportunity to collaborate with a cross-functional team in one of our fastest growing business areas. Responsibilities Develop expertise in Numerator datasets with deep understanding of data schema and storage systems Define queries for data feed deliveries via interpretation of data requirements and scoping documents Maintenance of technical documentation as it relates to DaaS delivery processes Assist in development and maintenance of Airflow dependent processes First level support for operational triage and bug fixes in code Implement extensions of pre-defined code and architecture Regularly communicate progress and timing implications for directed tasks Skills & Requirements What you bring: Bachelor’s Degree in Computer Science, Engineering, Mathematics or related fields Intermediate to advanced experience with SQL Experience with ETL tooling (particularly Airflow) Demonstrated ability to learn new technologies and comfort with shifting environments Strong database skills Experience with version control systems (Git, etc.) An eagerness to learn new things, and improve upon existing skills, abilities, and practices. Nice to have's: Prior experience with Snowflake Data Warehouse Knowledge of engineering best practices and coding standards Airflow - Experience building and monitoring DAGs, developing custom operators and using script templating solutions Scripting experience with Python CPG and/or retail industry knowledge What we offer: An inclusive and collaborative company culture An opportunity to have an impact on our growing teams and organization Ownership of platforms and environments with industry leading product Market competitive total compensation package Volunteer time off and charitable donation matching Strong support for career growth, including mentorship programs, leadership training, access to conferences and employee resources groups Great benefits package including health/vision/dental, unlimited PTO, 401k plus matching, and more! If this sounds like something you would like to be part of, we'd love for you to apply! Don't worry if you think that you don't meet all the qualifications here. The tools, technology and methodologies we use are constantly changing and we value talent and interest over specific experience. While this position can be remote, Numerator is only able to hire in many, but not all, states and provinces. In certain cases, if you are not located in a specific area where Numerator is able to hire, you may not be eligible for employment. We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by the law"
32,"analyst, database",Full-time,A7 Software Technologies Ltd.,"Edmonton, AB",False,7680.0,"Management Systems (erp or db) Oracle MySQL Specific Skills Confer with clients to identify and document requirements Conduct business and technical studies Design, develop and implement information systems business solutions Provide advice on information systems strategy, policy, management and service delivery Assess physical and technical security risks to data, software and hardware Develop and implement policies and procedures throughout the software development life cycle Develop policies, procedures and contingency plans to minimize the effects of security breaches Conduct reviews to assess quality assurance practices, software products and information systems Programming Languages XML XSL PHP MySQL JavaScript SQL Ajax C# .NET Work Conditions and Physical Capabilities Fast-paced environment Work under pressure Attention to detail Sitting Tight deadlines Computer and Technology Knowledge Word processing software Spreadsheet MS Windows Linux Database software MAC JavaOS Networking software Networking security Servers HTML editing software Programming languages Data analysis software MS Office Computer-aided design (CAD) Personal Suitability Initiative Effective interpersonal skills Team player Excellent oral communication Excellent written communication Client focus Judgement Organized"
33,Data Analyst/Programmer,Full-time,SIRVA,"Edmonton, AB",False,5833.33,"The Data Analyst / Programmer fulfils a dual role primarily focused on working with large data sets to answer business questions, availing the results of transformations and analysis to management and users through various reporting tools. The Data Analyst / Programmer is also involved in programming and troubleshooting/maintaining/testing software to satisfy changing business needs. RESPONSIBILITIES Work with internal stakeholders to define key performance indicators (KPI) and identify reporting and data analysis needs Collect, transform, analyze, and visualize data by creating and maintaining communications tools such as dashboards, automated and interactive reports Enhance existing reporting and analytics solutions to make them more impactful Develop models for forecasting, pricing, and budgeting Identify and interpret trends or patterns in complex data sets using statistical tools, making recommendations to stakeholders Support process documentation and best practice activities, contributing to corporate standard reporting formats Train end users on new reports and dashboards as analytical tool to enhance business decision-making capability Assist in the design, development and implementation of new applications and software enhancements Participate in quality assurance testing and documentation QUALIFICATIONS AND EDUCATION REQUIREMENTS College diploma or university degree in computer sciences, analytics, business management, economics, or statistics 2+ years of work experience, preferably in business intelligence and report development SKILLS Experience mining, analyzing and interpreting data using data analysis technology, data modeling and tools such as SQL, SSIR, SSRS, and DAX Exceptional MS Excel skills including Power Query, Power Pivot, and dashboard development; VBA skills preferred Proficiency with MS Power BI or Tableau Experience with C#, ASP.NET (WebForms/MVC frameworks/WebApi), MS SQL Server Knowledge of and application of software development principles Above-average analytical and problem-solving abilities Intellectually curious with a knack for translating information into impactful and actionable insights; have an interest in going beyond the obvious and delve into the source, the definition, and foundational roots of a data element Must be a team player with excellent oral and written communication skills to present analytical findings to non-technical clients and audiences Strong organizational skills with ability to take ownership of multiple assignments simultaneously, prioritize work, document project plan details, and set and meet timelines High degree of professionalism, integrity, and the ability to exercise excellent discretion and judgment when dealing with confidential information SIRVA Worldwide Relocation and Moving is a global leader in moving and relocation services, offering solutions for mobility programs to companies of every size. With 75 owned locations and more than 1,000 franchised and agent locations in 177 countries, we offer unmatched global breadth supported by localized attention and innovative technology that strikes the right balance of self service and human support. From relocation and household goods to commercial moving and storage, our portfolio of Brands (SIRVA, Team Relocations, Allied, North American, & SMARTBOX) provides the only integrated moving/relocation solution in the industry. By leveraging our global network, we deliver a superior experience that only a “one-stop shop” can provide. We’re a team that works globally to provide the best service locally — a company that is everything you need, everywhere you need it. For more information please visit www.sirva.com. Job Type: Full-time Pay: $54,000.00-$86,000.00 per year Schedule: 8 hour shift Application question(s): How many years of .NET experience do you have?"
34,"Analyst, Business Operations Intern",Internship / Co-op,Symend,"Calgary, AB",True,,"Are you looking for an opportunity to apply your skills and talent to spark both innovation and positive social change? Symend is a rapidly growing fintech company that combines behavioral science with advanced AI, data, and analytics capabilities to enable companies to engage at-risk customers more effectively and humanely. By creating better ways to approach individuals with empathy and dignity at the time when they need it most, Symend's employees are helping to transform the science of customer engagement and improve lives in North America and around the world. The Opportunity The Analyst, Business Operations Intern will be responsible for: the coordination of corporate metrics and sales and operations planning process, supporting priority operations projects, and assist with the quarterly board meeting and planning cycle. Please note this will be a 6-month internship, ending in December 2022. What You'll Be Doing Responsibilities include but are not limited to: Corporate metrics and S&OP co-ordination: Coordinate preparation for weekly business metrics review and monthly S&OP cycle; working closely with operations roles in departments to ensure a standard and consistent approach to reporting metrics, highlighting areas to investigate and any help needed. Work with teams to gather data and prepare reports for weekly deep dives during management meeting review. Support special projects: Project manage special project(s) related to operations initiatives and improving the business. Contribute insights and support in coordination of special project internal resourcing, planning, execution, and status reporting. Drive corporate operations initiatives through coordination of activities and creation of templates and playbooks. Support the quarterly board meeting and planning cycle: Support preparation materials for quarterly board meetings and planning meetings by gathering initial planning materials, partnering with stakeholders on agenda items and coordination of meeting logistics. Following planning off sites, collate materials to develop and iterate board presentation materials. Support financing and corporate development work by partnering with internal stakeholders across a variety of teams. What You'll Need Education Currently working towards a Bachelor's degree in Business or related field. Experience Previous on the job and/or internship experience with project coordination, with the ability to look out toward major deliverables and work backwards with what actions are required, who will complete them, and when they will be done. Experience working collaboratively with project teams cross-functionally within an organization and a track record of building strong trust-based working relationships. Key Competencies & Requirements Ability to think strategically and analyze the current state, developing options, comparing scenarios, and selecting strategic direction. Strong communication skills and ability to influence, previous experience communicating requirements and coordinating delivery without authority. Strong attention to detail to capture inputs and close out open actions. Exceptional verbal and written communication skills inclusive of email, memo, and presentation format. Analytical thinker with the ability to set up and execute analysis in excel Adaptable and open minded, comfortable with change and working in a fast-paced environment. Consistently achieves results, even under tough circumstances. Entrepreneurial and highly motivated to learn. All positions require background screening. This will include criminal and education checks to comply with regulations. Why Symend? We could tell you all about our competitive compensation, flexible work environment, social Fridays, and awesome team events, but working at Symend is so much more than that! Working at Symend means being part of a driven and collaborative team that values trust, accountability and continuous learning. We work hard, but always make time for fun! You get the chance to do work that matters on a product that truly changes lives! About Symend At Symend, we believe that all customers should be treated with empathy and dignity. That's why we leverage our deep understanding of consumer behavior to create personalized interactions that better engage and empower customers at all points of the customer journey. Our digital engagement platform uses behavioral science, data science and advanced analytics to help our clients build stronger relationships with their customers. Symend: The science of engagement.™ Symend's relationship-based approach keeps enterprises attuned to the changing needs of their customers and empowers them to take action. This increases customer satisfaction, lowers operating costs, and helps resolve past due bills before reaching collections. Founded in 2016, Symend's platform is purpose built to serve complex global enterprises in telecommunications, financial services, utilities and media. Symend is headquartered in Calgary and privately held, with global operations across Canada, the United States and Latin America. Symend: The science of engagement.™ Symend's Privacy Policy By submitting your application, you agree that we may use your personal information in accordance with our privacy policy."
35,IT (information technology) business analyst,Full-time,Clovda Technologies,"Calgary, AB",False,7795.2,"Specific Skills Confer with clients to identify and document requirements Conduct business and technical studies Design, develop and implement information systems business solutions Provide advice on information systems strategy, policy, management and service delivery Assess physical and technical security risks to data, software and hardware Develop and implement policies and procedures throughout the software development life cycle Develop policies, procedures and contingency plans to minimize the effects of security breaches Conduct reviews to assess quality assurance practices, software products and information systems"
